source,status,disposition,destination,rights,html,screenshot,sha256,reason
"/articles","200","Migrate/Redirect","/professional/articles","owned or public-source preservation","html/articles.html","screenshots/articles.png","dd41e93cb7ff0a6a3325be560bba3a6c10c1eaac6a279a87f6dd8f2a5b127713","Canonical article index."
"/articles/owning-the-stack-post-generative-creative-economy","200","Migrate/Redirect","/professional/articles/owning-the-stack-post-generative-creative-economy","owned or public-source preservation","html/articles-owning-the-stack-post-generative-creative-economy.html","screenshots/articles-owning-the-stack-post-generative-creative-economy.png","b6b59f7e5537f81a7b321a4c3ab98c6bdffceb886af5e1496d1b17caaa3c8932","Approved article migrated to the governed article model."
"/articles/2026-game-design-benchmarks","200","Migrate/Redirect","/professional/articles/2026-game-design-benchmarks","owned or public-source preservation","html/articles-2026-game-design-benchmarks.html","screenshots/articles-2026-game-design-benchmarks.png","0ad14b4ee26ad613c9f25356873445e3c6ed1287e204fae9f403e2fa60169376","Approved article migrated to the governed article model."
"/articles/arc-raiders-a-player-experience-review","200","Migrate/Redirect","/professional/articles/arc-raiders-a-player-experience-review","owned or public-source preservation","html/articles-arc-raiders-a-player-experience-review.html","screenshots/articles-arc-raiders-a-player-experience-review.png","ca9f35d5aee79fecea7211c87830b0233b01665ca7c7fbc4fe7ad7eac4a48933","Approved article migrated to the governed article model."
"/articles/when-tools-begin-to-decide","200","Migrate/Redirect","/professional/articles/when-tools-begin-to-decide","owned or public-source preservation","html/articles-when-tools-begin-to-decide.html","screenshots/articles-when-tools-begin-to-decide.png","5ce7eea1da3b19db6ad5babe3d99078e1efe8d09bfeee58ef1b2c23b946ceedb","Approved article migrated to the governed article model."
"/articles/player-psychology-game-design","404","Retire/Redirect","/professional/articles","owned or public-source preservation","html/articles-player-psychology-game-design.html","—","392587a9ec367d7c9edc6a71a01db617471b21aee462180c390e4f0db5273986","Stale sitemap URL returns 404 and has no live source content."
"/articles/ai-in-ux-design","200","Migrate/Redirect","/professional/articles/ai-in-ux-design","owned or public-source preservation","html/articles-ai-in-ux-design.html","screenshots/articles-ai-in-ux-design.png","fd3118cdd97f4a1afa117440b986c8b4a49ee9672176cc539bf5c86f21f2d681","Approved article migrated to the governed article model."
"/articles/scalable-ui-systems-design-tokens-components","200","Migrate/Redirect","/professional/articles/scalable-ui-systems-design-tokens-components","owned or public-source preservation","html/articles-scalable-ui-systems-design-tokens-components.html","screenshots/articles-scalable-ui-systems-design-tokens-components.png","4b85f7175df630e5f56e3936a6e5c6a09c6c3ac819a6b60dd368682732dfb1a6","Approved article migrated to the governed article model."
"/articles/how-to-conduct-a-ux-audit","200","Migrate/Redirect","/professional/articles/how-to-conduct-a-ux-audit","owned or public-source preservation","html/articles-how-to-conduct-a-ux-audit.html","screenshots/articles-how-to-conduct-a-ux-audit.png","9f0b655771008fa848ebf481b1e8b98504437316f8888254edab6dda34ecef42","Approved article migrated to the governed article model."
"/articles/holistic-ux-design-systems-thinking","200","Migrate/Redirect","/professional/articles/holistic-ux-design-systems-thinking","owned or public-source preservation","html/articles-holistic-ux-design-systems-thinking.html","screenshots/articles-holistic-ux-design-systems-thinking.png","f42978ba512410400e3ff65728b37bbbb354ffbafb5701575886572d23603ce4","Approved article migrated to the governed article model."
"/articles/video-games-2023-q1-cryptic-insights","200","Migrate/Redirect","/professional/articles/video-games-2023-q1-cryptic-insights","owned or public-source preservation","html/articles-video-games-2023-q1-cryptic-insights.html","screenshots/articles-video-games-2023-q1-cryptic-insights.png","87c008ec3b2531f30c54e93e6d97d9ea0a83d68f7b0784b4944fd426af262e82","Approved article migrated to the governed article model."
"/articles/artificial-intelligence-2023-q1-cryptic-insights","200","Migrate/Redirect","/professional/articles/artificial-intelligence-2023-q1-cryptic-insights","owned or public-source preservation","html/articles-artificial-intelligence-2023-q1-cryptic-insights.html","screenshots/articles-artificial-intelligence-2023-q1-cryptic-insights.png","3663ca72aeeb03b127a447ca19a00149bb1c9eb1dc42bf573dd1c5b01e9fb150","Approved article migrated to the governed article model."
"/articles/category/Behavioral+Science","200","Retire/Redirect","/professional/articles","owned or public-source preservation","html/articles-category-Behavioral-Science.html","—","d4de328d841f864d031b246ac7e2dcc7f53cd67d6a68af1930236bb412796a19","Generated taxonomy has no unique governed destination."
